AreaKey,initial_regime,final_regime,accepted_moves_for_county,move_path,decisive_iteration,decisive_from_regime,decisive_to_regime,current_loo_error,candidate_loo_error,loo_error_gain,current_boundary_disagreement,candidate_boundary_disagreement,boundary_gain,boundary_term_gain_lambda1,total_local_cost_gain,regression_supported,boundary_supported,driver_class
13023,3,4,1,3→4,3,3,4,0.0144157905545256,0.0010520001344873,0.0133637904200383,4,3,1,1.0,1.0133637904200374,True,True,joint_regression_and_boundary
13053,3,4,1,3→4,6,3,4,2.2634034436016166,0.0184061976471399,2.244997245954477,1,3,-2,-2.0,0.24499724595447647,True,False,regression_overcame_boundary_cost
13107,3,4,1,3→4,2,3,4,0.0127916849869397,1.303664944263387e-06,0.012790381321995435,9,5,4,4.0,4.012790381321996,True,True,joint_regression_and_boundary
13153,3,4,1,3→4,8,3,4,1.1368875848685631,0.0494604453102275,1.0874271395583357,3,4,-1,-1.0,0.08742713955833548,True,False,regression_overcame_boundary_cost
13165,3,4,1,3→4,1,3,4,0.0907213517872306,0.1647804073879809,-0.07405905560075028,3,2,1,1.0,0.9259409443992497,False,True,boundary_overcame_worse_or_equal_LOO
13175,3,4,1,3→4,3,3,4,0.0364496786314354,0.121118509154974,-0.0846688305235386,6,4,2,2.0,1.9153311694764614,False,True,boundary_overcame_worse_or_equal_LOO
13197,3,4,1,3→4,7,3,4,0.2307253483181832,0.3907826112056212,-0.160057262887438,4,3,1,1.0,0.8399427371125618,False,True,boundary_overcame_worse_or_equal_LOO
13215,3,4,1,3→4,7,3,4,0.204700655889927,0.0110136176368115,0.1936870382531155,2,2,0,0.0,0.19368703825311506,True,False,regression_only
13249,3,4,1,3→4,8,3,4,0.3251292416947158,0.0042817773510619,0.3208474643436539,2,2,0,0.0,0.32084746434365385,True,False,regression_only
13251,3,4,1,3→4,1,3,4,0.000577912830898,0.0554630883825049,-0.0548851755516069,3,2,1,1.0,0.9451148244483929,False,True,boundary_overcame_worse_or_equal_LOO
13283,3,4,1,3→4,2,3,4,0.5438347302495254,0.2729673086970784,0.27086742155244703,3,3,0,0.0,0.27086742155244625,True,False,regression_only
